ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
VermogenTotEten,NL-CM:4.7.1,VermogenTotEten,,groen: geen wijzigingen,NL-CM:4.7.1,VermogenTotEten,,,,,,,,
VermogenTotEten,NL-CM:4.7.3,Eten,EtenCodelijst,oranje: minor change,NL-CM:4.7.3,Eten,EtenCodelijst,ZIB-1115,Datatype CO gewijzigd in CD,DATATYPE CHANGE,Low,valueset datatype CO -> valueset datatype CD,Low,valueset datatype CD -> valueset datatype CO
VermogenTotEten,NL-CM:4.7.4,EetBeperkingen,EetBeperkingenCodelijst,groen: geen wijzigingen,NL-CM:4.7.4,EetBeperkingen,EetBeperkingenCodelijst,,,,,,,
