ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Wilsverklaring,DCM::References,References,,geel: patch wijziging,DCM::References,References,,ZIB-1004,"Referenties in sectie 'References' bijgewerkt naar juiste url van de NPCF, NVVE en NPV.  ",SIMPLE PATCH CHANGE,Low,,Low,
Wilsverklaring,NL-CM:7.15.1,Wilsverklaring,,groen: geen wijzigingen,NL-CM:7.15.1,Wilsverklaring,,,,,,,,
Wilsverklaring,NL-CM:7.15.2,WilsverklaringType,WilsverklaringTypeCodelijst,oranje: minor change,NL-CM:7.15.2,WilsverklaringType,WilsverklaringTypeCodelijst,ZIB-739,Zelfbindingsverklaring is als item toegevoegd aan WilsverklaringTypeCodelijst.,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
Wilsverklaring,NL-CM:7.15.3,Vertegenwoordiger::Contactpersoon,,groen: geen wijzigingen,NL-CM:7.15.3,Vertegenwoordiger::Contactpersoon,,,,,,,,
Wilsverklaring,NL-CM:7.15.4,Aandoening::Probleem,,groen: geen wijzigingen,NL-CM:7.15.4,Aandoening::Probleem,,,,,,,,
Wilsverklaring,NL-CM:7.15.5,WilsverklaringDocument,,groen: geen wijzigingen,NL-CM:7.15.5,WilsverklaringDocument,,,,,,,,
Wilsverklaring,NL-CM:7.15.6,Toelichting,,groen: geen wijzigingen,NL-CM:7.15.6,Toelichting,,,,,,,,
Wilsverklaring,NL-CM:7.15.7,WilsverklaringDatum,,groen: geen wijzigingen,NL-CM:7.15.7,WilsverklaringDatum,,,,,,,,
