ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Bereik,NL-CM:20.1.1,Bereik,,oranje: minor change,NL-CM:20.1.1,Bereik,,ZIB-805,"Bereik invariant toegevoegd in UML modellering (Of een nominale waarde OF een minimale EN een maximale)
waarde moet gekozen worden)",OTHER INFORMATIONMODEL CHANGE,Medium,,Low,
Bereik,NL-CM:20.1.2,minimumWaarde,,groen: geen wijzigingen,NL-CM:20.1.2,minimumWaarde,,,,,,,,
Bereik,NL-CM:20.1.3,maximumWaarde,,groen: geen wijzigingen,NL-CM:20.1.3,maximumWaarde,,,,,,,,
Bereik,NL-CM:20.1.4,nominaleWaarde,,geel: patch wijziging,NL-CM:20.1.4,nominaleWaarde,,ZIB-805,Tekst defintie concept  gewijzigd.,SIMPLE PATCH CHANGE,Low,,Low,
