ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
TijdsInterval,NL-CM:20.3.1,TijdsInterval,,groen: geen wijzigingen,NL-CM:20.3.1,TijdsInterval,,,,,,,,
TijdsInterval,NL-CM:20.3.2,startDatumTijd,,groen: geen wijzigingen,NL-CM:20.3.2,startDatumTijd,,,,,,,,
TijdsInterval,NL-CM:20.3.3,eindDatumTijd,,groen: geen wijzigingen,NL-CM:20.3.3,eindDatumTijd,,,,,,,,
TijdsInterval,NL-CM:20.3.4,tijdsDuur,,groen: geen wijzigingen,NL-CM:20.3.4,tijdsDuur,,,,,,,,
