ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
O2Saturatie,NL-CM:12.10.1,O2Saturatie,,groen: geen wijzigingen,NL-CM:12.10.1,O2Saturatie,,,,,,,,
O2Saturatie,NL-CM:12.10.2,SpO2Waarde,,groen: geen wijzigingen,NL-CM:12.10.2,SpO2Waarde,,,,,,,,
O2Saturatie,NL-CM:12.10.3,O2SaturatieDatumTijd,,groen: geen wijzigingen,NL-CM:12.10.3,O2SaturatieDatumTijd,,,,,,,,
O2Saturatie,NL-CM:12.10.4,Toelichting,,groen: geen wijzigingen,NL-CM:12.10.4,Toelichting,,,,,,,,
O2Saturatie,NL-CM:12.10.5,ExtraZuurstofToediening,,groen: geen wijzigingen,NL-CM:12.10.5,ExtraZuurstofToediening,,,,,,,,
