ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Levensovertuiging,NL-CM:7.5.1,LevensovertuigingRC,,groen: geen wijzigingen,NL-CM:7.5.1,LevensovertuigingRC,,,,,,,,
Levensovertuiging,NL-CM:7.5.2,Levensovertuiging,LevensovertuigingCodelijst,groen: geen wijzigingen,NL-CM:7.5.2,Levensovertuiging,LevensovertuigingCodelijst,,,,,,,
Levensovertuiging,NL-CM:7.5.3,Toelichting,,rood: major change,NL-CM:7.5.3,Toelichting,,ZIB-763,Concept 'Toelichting' toegevoegd aan zib,CONCEPT ADDITION,Low,,High,IF source <> [blank] THEN source -> target=[non-zib item]
