ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
ParticipatieInMaatschappij,NL-CM:18.6.1,ParticipatieInMaatschappij,,groen: geen wijzigingen,NL-CM:18.6.1,ParticipatieInMaatschappij,,,,,,,,
ParticipatieInMaatschappij,NL-CM:18.6.2,SociaalNetwerk,,groen: geen wijzigingen,NL-CM:18.6.2,SociaalNetwerk,,,,,,,,
ParticipatieInMaatschappij,NL-CM:18.6.3,Vrijetijdsbesteding,,groen: geen wijzigingen,NL-CM:18.6.3,Vrijetijdsbesteding,,,,,,,,
ParticipatieInMaatschappij,NL-CM:18.6.4,Arbeidssituatie,,groen: geen wijzigingen,NL-CM:18.6.4,Arbeidssituatie,,,,,,,,
ParticipatieInMaatschappij,NL-CM:18.6.5,Toelichting,,groen: geen wijzigingen,NL-CM:18.6.5,Toelichting,,,,,,,,
