ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
BurgerlijkeStaat,DCM::Instructions,Instructions,,geel: patch wijziging,DCM::Instructions,Instructions,,ZIB-606,Tekst instructions gewijzigd.,SIMPLE PATCH CHANGE,Low,,Low,
BurgerlijkeStaat,NL-CM:7.9.1,BurgerlijkeStaatRC,,groen: geen wijzigingen,NL-CM:7.9.1,BurgerlijkeStaatRC,,,,,,,,
BurgerlijkeStaat,NL-CM:7.9.2,BurgerlijkeStaat,BurgerlijkeStaatCodelijst,oranje: minor change,NL-CM:7.9.2,BurgerlijkeStaat,BurgerlijkeStaatCodelijst,ZIB-735,Unmarried/ongehuwd toegevoegd aan codelijst. Never married op discouraged gezet.,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
