ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
VermogenTotZichKleden,NL-CM:4.11.1,VermogenTotZichKleden,,groen: geen wijzigingen,NL-CM:4.11.1,VermogenTotZichKleden,,,,,,,,
VermogenTotZichKleden,NL-CM:4.11.2,ZichKleden,ZichKledenCodelijst,oranje: minor change,NL-CM:4.11.2,ZichKleden,ZichKledenCodelijst,ZIB-1115,Datatype CO gewijzigd in CD,DATATYPE CHANGE,Low,valueset datatype CO -> valueset datatype CD,Low,valueset datatype CD -> valueset datatype CO
VermogenTotZichKleden,NL-CM:4.11.3,TeKledenLichaamsdeel,TeKledenLichaamsdeelCodelijst,oranje: minor change,NL-CM:4.11.3,TeKledenLichaamsdeel,TeKledenLichaamsdeelCodelijst,ZIB-1115,Datatype CO gewijzigd in CD,DATATYPE CHANGE,Low,valueset datatype CO -> valueset datatype CD,Low,valueset datatype CD -> valueset datatype CO
